0 circle with diameter 0.1, centered at the origin
*
S circle 0.1000 0.0000  0.0951 0.0309
S circle 0.0951 0.0309  0.0809 0.0588
S circle 0.0809 0.0588  0.0588 0.0809
S circle 0.0588 0.0809  0.0309 0.0951
S circle 0.0309 0.0951  0.0000 0.1000
S circle 0.0000 0.1000  -0.0309 0.0951
S circle -0.0309 0.0951  -0.0588 0.0809
S circle -0.0588 0.0809  -0.0809 0.0588
S circle -0.0809 0.0588  -0.0951 0.0309
S circle -0.0951 0.0309  -0.1000 0.0000
S circle -0.1000 0.0000  -0.0951 -0.0309
S circle -0.0951 -0.0309  -0.0809 -0.0588
S circle -0.0809 -0.0588  -0.0588 -0.0809
S circle -0.0588 -0.0809  -0.0309 -0.0951
S circle -0.0309 -0.0951  0.0000 -0.1000
S circle 0.0000 -0.1000  0.0309 -0.0951
S circle 0.0309 -0.0951  0.0588 -0.0809
S circle 0.0588 -0.0809  0.0809 -0.0588
S circle 0.0809 -0.0588  0.0951 -0.0309
S circle 0.0951 -0.0309  0.1000 0.0000
