0 circle with diameter 0.15. centered at the origin
*
S circle 0.15 0  0.14815336 0.023464483
S circle 0.14815336 0.023464483  0.142658907 0.046351227
S circle 0.142658907 0.046351227  0.133651925 0.068096717
S circle 0.133651925 0.068096717  0.121354183 0.088165539
S circle 0.121354183 0.088165539  0.106068474 0.10606356
S circle 0.106068474 0.10606356  0.088171161 0.121350098
S circle 0.088171161 0.121350098  0.068102909 0.13364877
S circle 0.068102909 0.13364877  0.046357836 0.142656759
S circle 0.046357836 0.142656759  0.023471347 0.148152273
S circle 0.023471347 0.148152273  6.94902E-06 0.15
S circle 6.94902E-06 0.15  -0.02345762 0.148154447
S circle -0.02345762 0.148154447  -0.046344618 0.142661054
S circle -0.046344618 0.142661054  -0.068090526 0.13365508
S circle -0.068090526 0.13365508  -0.088159917 0.121358267
S circle -0.088159917 0.121358267  -0.106058646 0.106073387
S circle -0.106058646 0.106073387  -0.121346014 0.088176783
S circle -0.121346014 0.088176783  -0.133645615 0.068109101
S circle -0.133645615 0.068109101  -0.142654612 0.046364445
S circle -0.142654612 0.046364445  -0.148151185 0.02347821
S circle -0.148151185 0.02347821  -0.149999999 1.3898E-05
S circle -0.149999999 1.3898E-05  -0.148155533 -0.023450756
S circle -0.148155533 -0.023450756  -0.142663201 -0.046338009
S circle -0.142663201 -0.046338009  -0.133658234 -0.068084334
S circle -0.133658234 -0.068084334  -0.121362351 -0.088154295
S circle -0.121362351 -0.088154295  -0.106078301 -0.106053732
S circle -0.106078301 -0.106053732  -0.088182404 -0.121341928
S circle -0.088182404 -0.121341928  -0.068115292 -0.13364246
S circle -0.068115292 -0.13364246  -0.046371054 -0.142652464
S circle -0.046371054 -0.142652464  -0.023485074 -0.148150097
S circle -0.023485074 -0.148150097  -2.08471E-05 -0.149999999
S circle -2.08471E-05 -0.149999999  0.023443893 -0.148156619
S circle 0.023443893 -0.148156619  0.0463314 -0.142665347
S circle 0.0463314 -0.142665347  0.068078142 -0.133661388
S circle 0.068078142 -0.133661388  0.088148672 -0.121366435
S circle 0.088148672 -0.121366435  0.106048818 -0.106083214
S circle 0.106048818 -0.106083214  0.121337843 -0.088188025
S circle 0.121337843 -0.088188025  0.133639304 -0.068121483
S circle 0.133639304 -0.068121483  0.142650315 -0.046377662
S circle 0.142650315 -0.046377662  0.148149009 -0.023491937
S circle 0.148149009 -0.023491937  0.149999997 -2.77961E-05
