0 circle with diameter 2.0, centered at the origin
*
S circle 2 0  1.902118759 0.618016365
S circle 1.902118759 0.618016365  1.618055773 1.175540521
S circle 1.618055773 1.175540521  1.175615479 1.618001312
S circle 1.175615479 1.618001312  0.618104483 1.902090126
S circle 0.618104483 1.902090126  9.26536E-05 1.999999998
S circle 9.26536E-05 1.999999998  -0.617928245 1.902147387
S circle -0.617928245 1.902147387  -1.17546556 1.61811023
S circle -1.17546556 1.61811023  -1.617946848 1.175690435
S circle -1.617946848 1.175690435  -1.902061489 0.6181926
S circle -1.902061489 0.6181926  -1.999999991 0.000185307
S circle -1.999999991 0.000185307  -1.902176012 -0.617840124
S circle -1.902176012 -0.617840124  -1.618164684 -1.175390597
S circle -1.618164684 -1.175390597  -1.175765388 -1.61789238
S circle -1.175765388 -1.61789238  -0.618280716 -1.902032848
S circle -0.618280716 -1.902032848  -0.000277961 -1.999999981
S circle -0.000277961 -1.999999981  0.617752002 -1.902204633
S circle 0.617752002 -1.902204633  1.175315632 -1.618219134
S circle 1.175315632 -1.618219134  1.617837909 -1.175840338
S circle 1.617837909 -1.175840338  1.902004203 -0.618368831
S circle 1.902004203 -0.618368831  1.999999966 -0.000370614
